Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Waldo Cortes Acosta,Salsa Boy ,https://www.ufc.com/athlete/waldo-cortes-acosta,Heavyweight Division,9-0-0 (W-L-D),Active,Dominican Republic,,31,76.00,259.00,"Oct. 29, 2022",70.00,263,525,,,7.81,4.07,0.00,0.00,60%,67%,0.45,673,238,15,10,4,3,1,207,79%,44,17%,12,5%,2,Striker,43.50,9,0,0
Tracy Cortez,,https://www.ufc.com/athlete/tracy-cortez,Women's Flyweight Division,10-1-0 (W-L-D),Active,"Phoenix, United States",,29,65.00,125.00,"Nov. 16, 2019",65.50,267,486,,29,3.56,2.32,2.80,0.40,59%,71%,0.00,900,121,31,115,1,7,1,156,58%,81,30%,30,11%,NA,MMA,38.50,10,1,0
Reyes Cortez,,https://www.ufc.com/athlete/reyes-cortez,Bantamweight Division,0-1-0 (W-L-D),Active,"Phoenix, United States",,30,67.00,135.50,"Apr. 20, 2023",68.00,47,119,,10,3.13,5.20,2.00,0.00,59%,NA,0.00,900,40,7,0,0,0,0,30,64%,11,23%,6,13%,NA,,36.50,0,1,0
Orion Cosce,Galaxy,https://www.ufc.com/athlete/orion-cosce,Welterweight Division,8-1-0 (W-L-D),Active,"Eureka, United States",Team Alpha Male,28,71.00,172.50,"Jul. 31, 2021",71.00,114,212,2,15,2.92,3.53,2.30,0.00,46%,73%,0.00,781,42,29,43,6,0,1,83,73%,21,18%,10,9%,4,MMA,39.00,8,1,0
Louis Cosce,,https://www.ufc.com/athlete/louis-cosce,Welterweight Division,7-2-0 (W-L-D),Not Fighting,"Arcata, United States",Syndicate MMA,27,69.00,170.50,"Nov. 21, 2020",71.00,125,275,1,10,4.31,5.35,1.04,0.52,48%,50%,1.04,580,75,17,33,5,0,2,94,75%,17,14%,14,11%,7,Boxing,38.00,7,2,0
Randy Costa,The Zohan,https://www.ufc.com/athlete/randy-costa,Bantamweight Division,6-4-0 (W-L-D),Not Fighting,"Stoughton, United States",,28,69.00,135.00,"Apr. 13, 2019",73.00,174,376,,1,6.53,7.58,0.00,0.00,58%,50%,1.69,266,155,14,5,6,0,0,143,82%,27,16%,4,2%,NA,,39.00,6,4,0
Melquizael Costa,Melk Cauthy,https://www.ufc.com/athlete/melquizael-costa,Lightweight Division,19-6-0 (W-L-D),Active,"Porto de Moz, Brazil",Chute Boxe,26,70.00,155.00,"Jan. 21, 2023",71.00,23,50,,,2.53,2.42,0.00,0.00,33%,43%,0.00,545,21,2,0,7,6,6,2,9%,10,43%,11,48%,8,MMA,40.50,19,6,0
Paulo Costa,The Eraser,https://www.ufc.com/athlete/paulo-costa,Middleweight Division,14-2-0 (W-L-D),Active,"State of Minas Gerais, Brazil",Team Borracha,31,73.00,185.50,"Mar. 12, 2017",72.00,555,920,,4,6.50,6.38,0.53,0.00,47%,79%,0.70,640,471,39,45,11,1,1,294,53%,230,41%,31,6%,9,Striker,39.50,14,2,0
Alessandro Costa,Nono ,https://www.ufc.com/athlete/alessandro-costa,Flyweight Division,12-3-0 (W-L-D),Active,"Manaus , Brazil",,27,64.00,125.50,"Dec. 17, 2022",67.00,62,202,,,2.28,3.16,0.00,0.00,64%,88%,0.55,817,59,3,0,3,2,6,26,42%,18,29%,18,29%,8,Jiu-Jitsu,36.00,12,3,0
Oscar Cota,Elevation,https://www.ufc.com/athlete/oscar-cota,Heavyweight Division,10-2-0 (W-L-D),Active,"Mexicali, Mexico",,38,72.00,263.50,"Apr. 20, 2023",72.00,5,12,,,0.33,2.47,0.00,1.00,41%,60%,0.00,900,2,0,3,0,0,0,4,80%,0,0%,1,20%,NA,,41.00,10,2,0
Patrick Cote,The Predator,https://www.ufc.com/athlete/patrick-cote,Welterweight Division,24-11-0 (W-L-D),Retired,"Rimouski, Canada",BTT Canada,42,71.00,170.00,"Oct. 22, 2004",71.00,683,1413,,53,2.81,3.21,0.68,0.25,49%,44%,0.56,608,413,139,131,0,0,0,411,60%,109,16%,163,24%,NA,,41.00,24,11,0
J.C. Cottrell,Superstar,https://www.ufc.com/athlete/jc-cottrell,Lightweight Division,17-5-0 (W-L-D),Not Fighting,"Oklahoma City, United States",,33,69.00,155.80,"Jul. 24, 2016",71.00,15,59,,1,0.79,2.75,0.79,0.00,45%,50%,0.00,567,15,0,0,2,4,11,10,67%,1,7%,4,27%,NA,,40.00,17,5,0
